DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,2006 Aug,101,82,81.20%,68,67.30%,82.90%,15,14.90%,18.30%,53,52.50%,64.60%,14,13.90%,17.10%,16,15.80%,3,3%
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,2006,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,2006 Aug,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,2005,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,2006,50,48,96%,48,96%,100%,0,0%,0%,48,96%,100%,0,0%,0%,1,2%,0,0%
24Q455,NEWTOWN HIGH SCHOOL,2001,889,396,44.50%,262,29.50%,66.20%,73,8.20%,18.40%,189,21.30%,47.70%,134,15.10%,33.80%,299,33.60%,172,19.30%
24Q455,NEWTOWN HIGH SCHOOL,2002,984,425,43.20%,275,27.90%,64.70%,86,8.70%,20.20%,189,19.20%,44.50%,151,15.30%,35.50%,354,36%,184,18.70%
24Q455,NEWTOWN HIGH SCHOOL,2003,1044,446,42.70%,277,26.50%,62.10%,139,13.30%,31.20%,138,13.20%,30.90%,169,16.20%,37.90%,361,34.60%,220,21.10%
24Q455,NEWTOWN HIGH SCHOOL,2004,872,401,46%,250,28.70%,62.30%,134,15.40%,33.40%,116,13.30%,28.90%,151,17.30%,37.70%,275,31.50%,180,20.60%
24Q455,NEWTOWN HIGH SCHOOL,2005,880,441,50.10%,250,28.40%,56.70%,124,14.10%,28.10%,126,14.30%,28.60%,191,21.70%,43.30%,235,26.70%,170,19.30%
24Q455,NEWTOWN HIGH SCHOOL,2006,773,382,49.40%,259,33.50%,67.80%,88,11.40%,23%,171,22.10%,44.80%,123,15.90%,32.20%,238,30.80%,125,16.20%
24Q455,NEWTOWN HIGH SCHOOL,2006 Aug,773,453,58.60%,283,36.60%,62.50%,89,11.50%,19.60%,194,25.10%,42.80%,170,22%,37.50%,167,21.60%,125,16.20%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2001,613,306,49.90%,179,29.20%,58.50%,79,12.90%,25.80%,100,16.30%,32.70%,127,20.70%,41.50%,161,26.30%,122,19.90%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2002,625,294,47%,165,26.40%,56.10%,72,11.50%,24.50%,93,14.90%,31.60%,129,20.60%,43.90%,152,24.30%,165,26.40%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2003,705,359,50.90%,206,29.20%,57.40%,94,13.30%,26.20%,112,15.90%,31.20%,153,21.70%,42.60%,156,22.10%,165,23.40%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2004,759,415,54.70%,232,30.60%,55.90%,90,11.90%,21.70%,142,18.70%,34.20%,183,24.10%,44.10%,181,23.80%,147,19.40%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2005,807,410,50.80%,205,25.40%,50%,68,8.40%,16.60%,137,17%,33.40%,205,25.40%,50%,203,25.20%,160,19.80%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2006,703,381,54.20%,254,36.10%,66.70%,69,9.80%,18.10%,185,26.30%,48.60%,127,18.10%,33.30%,173,24.60%,120,17.10%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2006 Aug,703,434,61.70%,266,37.80%,61.30%,70,10%,16.10%,196,27.90%,45.20%,168,23.90%,38.70%,120,17.10%,120,17.10%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2001,89,40,44.90%,0,0%,0%,0,0%,0%,0,0%,0%,40,44.90%,100%,37,41.60%,12,13.50%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2002,131,58,44.30%,0,0%,0%,0,0%,0%,0,0%,0%,58,44.30%,100%,60,45.80%,12,9.20%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2003,108,50,46.30%,49,45.40%,98%,0,0%,0%,49,45.40%,98%,1,0.90%,2%,49,45.40%,5,4.60%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2004,103,53,51.50%,50,48.50%,94.30%,0,0%,0%,50,48.50%,94.30%,3,2.90%,5.70%,47,45.60%,3,2.90%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2005,44,31,70.50%,31,70.50%,100%,0,0%,0%,31,70.50%,100%,0,0%,0%,6,13.60%,5,11.40%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2006,94,66,70.20%,64,68.10%,97%,0,0%,0%,64,68.10%,97%,2,2.10%,3%,18,19.10%,10,10.60%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2006 Aug,94,66,70.20%,64,68.10%,97%,0,0%,0%,64,68.10%,97%,2,2.10%,3%,18,19.10%,10,10.60%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2001,112,60,53.60%,0,0%,0%,0,0%,0%,0,0%,0%,60,53.60%,100%,46,41.10%,6,5.40%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2002,109,47,43.10%,0,0%,0%,0,0%,0%,0,0%,0%,47,43.10%,100%,59,54.10%,2,1.80%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2003,45,31,68.90%,31,68.90%,100%,0,0%,0%,31,68.90%,100%,0,0%,0%,11,24.40%,3,6.70%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2004,116,61,52.60%,57,49.10%,93.40%,0,0%,0%,57,49.10%,93.40%,4,3.40%,6.60%,46,39.70%,9,7.80%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2005,95,68,71.60%,64,67.40%,94.10%,0,0%,0%,64,67.40%,94.10%,4,4.20%,5.90%,20,21.10%,7,7.40%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2006,124,60,48.40%,60,48.40%,100%,0,0%,0%,60,48.40%,100%,0,0%,0%,54,43.50%,10,8.10%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2006 Aug,124,79,63.70%,78,62.90%,98.70%,0,0%,0%,78,62.90%,98.70%,1,0.80%,1.30%,35,28.20%,10,8.10%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2001,189,101,53.40%,84,44.40%,83.20%,15,7.90%,14.90%,69,36.50%,68.30%,17,9%,16.80%,70,37%,18,9.50%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2002,183,93,50.80%,84,45.90%,90.30%,10,5.50%,10.80%,74,40.40%,79.60%,9,4.90%,9.70%,72,39.30%,15,8.20%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2003,130,82,63.10%,72,55.40%,87.80%,20,15.40%,24.40%,52,40%,63.40%,10,7.70%,12.20%,34,26.20%,13,10%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2004,172,97,56.40%,90,52.30%,92.80%,5,2.90%,5.20%,85,49.40%,87.60%,7,4.10%,7.20%,48,27.90%,26,15.10%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2005,172,106,61.60%,92,53.50%,86.80%,26,15.10%,24.50%,66,38.40%,62.30%,14,8.10%,13.20%,47,27.30%,16,9.30%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2006,187,126,67.40%,114,61%,90.50%,21,11.20%,16.70%,93,49.70%,73.80%,12,6.40%,9.50%,39,20.90%,17,9.10%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2006 Aug,187,132,70.60%,119,63.60%,90.20%,21,11.20%,15.90%,98,52.40%,74.20%,13,7%,9.80%,33,17.60%,17,9.10%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2001,76,52,68.40%,24,31.60%,46.20%,0,0%,0%,24,31.60%,46.20%,28,36.80%,53.80%,18,23.70%,6,7.90%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2002,84,53,63.10%,32,38.10%,60.40%,0,0%,0%,32,38.10%,60.40%,21,25%,39.60%,14,16.70%,17,20.20%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2003,89,55,61.80%,25,28.10%,45.50%,1,1.10%,1.80%,24,27%,43.60%,30,33.70%,54.50%,22,24.70%,8,9%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2004,91,52,57.10%,29,31.90%,55.80%,1,1.10%,1.90%,28,30.80%,53.80%,23,25.30%,44.20%,32,35.20%,7,7.70%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2005,86,59,68.60%,44,51.20%,74.60%,3,3.50%,5.10%,41,47.70%,69.50%,15,17.40%,25.40%,18,20.90%,6,7%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2006,95,59,62.10%,41,43.20%,69.50%,6,6.30%,10.20%,35,36.80%,59.30%,18,18.90%,30.50%,28,29.50%,4,4.20%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2006 Aug,95,63,66.30%,45,47.40%,71.40%,6,6.30%,9.50%,39,41.10%,61.90%,18,18.90%,28.60%,24,25.30%,4,4.20%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2001,273,144,52.70%,68,24.90%,47.20%,2,0.70%,1.40%,66,24.20%,45.80%,77,28.20%,53.50%,72,26.40%,50,18.30%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2002,288,135,46.90%,97,33.70%,71.90%,43,14.90%,31.90%,54,18.80%,40%,38,13.20%,28.10%,85,29.50%,63,21.90%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2003,250,127,50.80%,69,27.60%,54.30%,56,22.40%,44.10%,13,5.20%,10.20%,58,23.20%,45.70%,72,28.80%,43,17.20%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2004,230,98,42.60%,76,33%,77.60%,33,14.30%,33.70%,43,18.70%,43.90%,22,9.60%,22.40%,90,39.10%,39,17%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2005,277,192,69.30%,131,47.30%,68.20%,26,9.40%,13.50%,105,37.90%,54.70%,61,22%,31.80%,61,22%,19,6.90%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2006,271,192,70.80%,157,57.90%,81.80%,26,9.60%,13.50%,131,48.30%,68.20%,35,12.90%,18.20%,43,15.90%,29,10.70%
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2006 Aug,271,200,73.80%,162,59.80%,81%,26,9.60%,13%,136,50.20%,68%,38,14%,19%,35,12.90%,29,10.70%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2001,209,126,60.30%,94,45%,74.60%,27,12.90%,21.40%,67,32.10%,53.20%,32,15.30%,25.40%,71,34%,8,3.80%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2002,424,290,68.40%,196,46.20%,67.60%,62,14.60%,21.40%,134,31.60%,46.20%,94,22.20%,32.40%,65,15.30%,17,4%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2003,366,256,69.90%,214,58.50%,83.60%,140,38.30%,54.70%,74,20.20%,28.90%,42,11.50%,16.40%,100,27.30%,10,2.70%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2004,361,275,76.20%,227,62.90%,82.50%,161,44.60%,58.50%,66,18.30%,24%,48,13.30%,17.50%,75,20.80%,9,2.50%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2005,459,285,62.10%,257,56%,90.20%,106,23.10%,37.20%,151,32.90%,53%,28,6.10%,9.80%,166,36.20%,7,1.50%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2006,368,274,74.50%,262,71.20%,95.60%,157,42.70%,57.30%,105,28.50%,38.30%,12,3.30%,4.40%,87,23.60%,5,1.40%
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2006 Aug,368,305,82.90%,289,78.50%,94.80%,158,42.90%,51.80%,131,35.60%,43%,16,4.30%,5.20%,56,15.20%,5,1.40%
24Q744,VOYAGES PREPARATORY,2005,71,3,4.20%,2,2.80%,66.70%,0,0%,0%,2,2.80%,66.70%,1,1.40%,33.30%,60,84.50%,8,11.30%
24Q744,VOYAGES PREPARATORY,2006,85,10,11.80%,6,7.10%,60%,0,0%,0%,6,7.10%,60%,4,4.70%,40%,61,71.80%,10,11.80%
24Q744,VOYAGES PREPARATORY,2006 Aug,85,11,12.90%,6,7.10%,54.50%,0,0%,0%,6,7.10%,54.50%,5,5.90%,45.50%,60,70.60%,10,11.80%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2004,88,57,64.80%,30,34.10%,52.60%,0,0%,0%,30,34.10%,52.60%,27,30.70%,47.40%,25,28.40%,6,6.80%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2005,99,57,57.60%,37,37.40%,64.90%,0,0%,0%,37,37.40%,64.90%,20,20.20%,35.10%,35,35.40%,7,7.10%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2006,86,51,59.30%,38,44.20%,74.50%,0,0%,0%,38,44.20%,74.50%,13,15.10%,25.50%,26,30.20%,9,10.50%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2006 Aug,86,53,61.60%,38,44.20%,71.70%,0,0%,0%,38,44.20%,71.70%,15,17.40%,28.30%,24,27.90%,9,10.50%
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2005,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2006,75,64,85.30%,58,77.30%,90.60%,20,26.70%,31.30%,38,50.70%,59.40%,6,8%,9.40%,10,13.30%,0,0%
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2006 Aug,75,64,85.30%,58,77.30%,90.60%,20,26.70%,31.30%,38,50.70%,59.40%,6,8%,9.40%,10,13.30%,0,0%
25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2005,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2006,82,71,86.60%,66,80.50%,93%,3,3.70%,4.20%,63,76.80%,88.70%,5,6.10%,7%,10,12.20%,1,1.20%
25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,2006 Aug,82,73,89%,66,80.50%,90.40%,3,3.70%,4.10%,63,76.80%,86.30%,7,8.50%,9.60%,8,9.80%,1,1.20%
25Q425,JOHN BOWNE HIGH SCHOOL,2001,821,361,44%,210,25.60%,58.20%,71,8.60%,19.70%,139,16.90%,38.50%,151,18.40%,41.80%,243,29.60%,190,23.10%
25Q425,JOHN BOWNE HIGH SCHOOL,2002,853,375,44%,248,29.10%,66.10%,58,6.80%,15.50%,190,22.30%,50.70%,127,14.90%,33.90%,221,25.90%,207,24.30%
25Q425,JOHN BOWNE HIGH SCHOOL,2003,793,405,51.10%,243,30.60%,60%,75,9.50%,18.50%,168,21.20%,41.50%,162,20.40%,40%,207,26.10%,163,20.60%
25Q425,JOHN BOWNE HIGH SCHOOL,2004,810,487,60.10%,326,40.20%,66.90%,97,12%,19.90%,229,28.30%,47%,161,19.90%,33.10%,196,24.20%,108,13.30%
25Q425,JOHN BOWNE HIGH SCHOOL,2005,699,374,53.50%,254,36.30%,67.90%,57,8.20%,15.20%,197,28.20%,52.70%,120,17.20%,32.10%,164,23.50%,118,16.90%
25Q425,JOHN BOWNE HIGH SCHOOL,2006,688,386,56.10%,297,43.20%,76.90%,68,9.90%,17.60%,229,33.30%,59.30%,89,12.90%,23.10%,138,20.10%,142,20.60%
25Q425,JOHN BOWNE HIGH SCHOOL,2006 Aug,688,402,58.40%,304,44.20%,75.60%,68,9.90%,16.90%,236,34.30%,58.70%,98,14.20%,24.40%,123,17.90%,141,20.50%
25Q460,FLUSHING HIGH SCHOOL,2001,597,257,43%,195,32.70%,75.90%,70,11.70%,27.20%,125,20.90%,48.60%,62,10.40%,24.10%,181,30.30%,152,25.50%
25Q460,FLUSHING HIGH SCHOOL,2002,636,266,41.80%,194,30.50%,72.90%,44,6.90%,16.50%,150,23.60%,56.40%,72,11.30%,27.10%,185,29.10%,164,25.80%
25Q460,FLUSHING HIGH SCHOOL,2003,561,264,47.10%,185,33%,70.10%,49,8.70%,18.60%,136,24.20%,51.50%,79,14.10%,29.90%,132,23.50%,154,27.50%
25Q460,FLUSHING HIGH SCHOOL,2004,607,299,49.30%,241,39.70%,80.60%,62,10.20%,20.70%,179,29.50%,59.90%,58,9.60%,19.40%,172,28.30%,130,21.40%
25Q460,FLUSHING HIGH SCHOOL,2005,559,290,51.90%,238,42.60%,82.10%,52,9.30%,17.90%,186,33.30%,64.10%,52,9.30%,17.90%,121,21.60%,108,19.30%
25Q460,FLUSHING HIGH SCHOOL,2006,588,332,56.50%,281,47.80%,84.60%,50,8.50%,15.10%,231,39.30%,69.60%,51,8.70%,15.40%,112,19%,122,20.70%
25Q460,FLUSHING HIGH SCHOOL,2006 Aug,588,360,61.20%,293,49.80%,81.40%,50,8.50%,13.90%,243,41.30%,67.50%,67,11.40%,18.60%,84,14.30%,122,20.70%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2001,279,279,100%,279,100%,100%,279,100%,100%,0,0%,0%,0,0%,0%,0,0%,0,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2002,254,252,99.20%,252,99.20%,100%,251,98.80%,99.60%,1,0.40%,0.40%,0,0%,0%,2,0.80%,0,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2003,274,272,99.30%,272,99.30%,100%,269,98.20%,98.90%,3,1.10%,1.10%,0,0%,0%,2,0.70%,0,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2004,271,269,99.30%,269,99.30%,100%,266,98.20%,98.90%,3,1.10%,1.10%,0,0%,0%,2,0.70%,0,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2005,251,250,99.60%,250,99.60%,100%,249,99.20%,99.60%,1,0.40%,0.40%,0,0%,0%,1,0.40%,0,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006,278,278,100%,278,100%,100%,271,97.50%,97.50%,7,2.50%,2.50%,0,0%,0%,0,0%,0,0%
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006 Aug,278,278,100%,278,100%,100%,271,97.50%,97.50%,7,2.50%,2.50%,0,0%,0%,0,0%,0,0%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2001,196,10,5.10%,0,0%,0%,0,0%,0%,0,0%,0%,10,5.10%,100%,176,89.80%,10,5.10%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2002,203,11,5.40%,2,1%,18.20%,0,0%,0%,2,1%,18.20%,9,4.40%,81.80%,182,89.70%,10,4.90%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2003,171,14,8.20%,6,3.50%,42.90%,0,0%,0%,6,3.50%,42.90%,8,4.70%,57.10%,140,81.90%,17,9.90%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2004,121,25,20.70%,10,8.30%,40%,0,0%,0%,10,8.30%,40%,15,12.40%,60%,85,70.20%,10,8.30%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2005,56,27,48.20%,17,30.40%,63%,1,1.80%,3.70%,16,28.60%,59.30%,10,17.90%,37%,2,3.60%,26,46.40%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2006,141,31,22%,19,13.50%,61.30%,2,1.40%,6.50%,17,12.10%,54.80%,12,8.50%,38.70%,94,66.70%,15,10.60%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2006 Aug,141,31,22%,19,13.50%,61.30%,2,1.40%,6.50%,17,12.10%,54.80%,12,8.50%,38.70%,94,66.70%,15,10.60%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2001,113,87,77%,77,68.10%,88.50%,28,24.80%,32.20%,49,43.40%,56.30%,10,8.80%,11.50%,21,18.60%,4,3.50%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2002,113,73,64.60%,60,53.10%,82.20%,21,18.60%,28.80%,39,34.50%,53.40%,13,11.50%,17.80%,19,16.80%,17,15%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2003,95,73,76.80%,59,62.10%,80.80%,0,0%,0%,59,62.10%,80.80%,14,14.70%,19.20%,15,15.80%,7,7.40%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2004,126,87,69%,79,62.70%,90.80%,6,4.80%,6.90%,73,57.90%,83.90%,8,6.30%,9.20%,31,24.60%,6,4.80%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2005,112,85,75.90%,71,63.40%,83.50%,18,16.10%,21.20%,53,47.30%,62.40%,14,12.50%,16.50%,19,17%,7,6.30%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006,159,90,56.60%,83,52.20%,92.20%,21,13.20%,23.30%,62,39%,68.90%,7,4.40%,7.80%,49,30.80%,13,8.20%
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006 Aug,159,95,59.70%,84,52.80%,88.40%,21,13.20%,22.10%,63,39.60%,66.30%,11,6.90%,11.60%,44,27.70%,13,8.20%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2003,19,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2004,66,6,9.10%,3,4.50%,50%,0,0%,0%,3,4.50%,50%,3,4.50%,50%,55,83.30%,5,7.60%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2005,106,13,12.30%,8,7.50%,61.50%,0,0%,0%,8,7.50%,61.50%,5,4.70%,38.50%,79,74.50%,7,6.60%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006,62,12,19.40%,7,11.30%,58.30%,0,0%,0%,7,11.30%,58.30%,5,8.10%,41.70%,41,66.10%,7,11.30%
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006 Aug,62,12,19.40%,7,11.30%,58.30%,0,0%,0%,7,11.30%,58.30%,5,8.10%,41.70%,41,66.10%,7,11.30%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2001,942,737,78.20%,647,68.70%,87.80%,371,39.40%,50.30%,276,29.30%,37.40%,91,9.70%,12.30%,116,12.30%,74,7.90%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2002,1013,800,79%,722,71.30%,90.30%,370,36.50%,46.30%,352,34.70%,44%,78,7.70%,9.80%,126,12.40%,54,5.30%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2003,1093,881,80.60%,799,73.10%,90.70%,409,37.40%,46.40%,390,35.70%,44.30%,82,7.50%,9.30%,139,12.70%,56,5.10%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2004,1086,879,80.90%,779,71.70%,88.60%,392,36.10%,44.60%,387,35.60%,44%,100,9.20%,11.40%,143,13.20%,55,5.10%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2005,1013,783,77.30%,703,69.40%,89.80%,380,37.50%,48.50%,323,31.90%,41.30%,80,7.90%,10.20%,151,14.90%,55,5.40%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006,981,786,80.10%,692,70.50%,88%,381,38.80%,48.50%,311,31.70%,39.60%,94,9.60%,12%,131,13.40%,44,4.50%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006 Aug,981,818,83.40%,715,72.90%,87.40%,384,39.10%,46.90%,331,33.70%,40.50%,103,10.50%,12.60%,99,10.10%,44,4.50%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2001,1051,744,70.80%,637,60.60%,85.60%,406,38.60%,54.60%,231,22%,31%,107,10.20%,14.40%,190,18.10%,92,8.80%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2002,1007,734,72.90%,641,63.70%,87.30%,392,38.90%,53.40%,249,24.70%,33.90%,93,9.20%,12.70%,149,14.80%,91,9%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2003,1113,858,77.10%,753,67.70%,87.80%,465,41.80%,54.20%,288,25.90%,33.60%,105,9.40%,12.20%,153,13.70%,79,7.10%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2004,1084,850,78.40%,707,65.20%,83.20%,469,43.30%,55.20%,238,22%,28%,143,13.20%,16.80%,157,14.50%,58,5.40%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2005,1134,887,78.20%,733,64.60%,82.60%,456,40.20%,51.40%,277,24.40%,31.20%,154,13.60%,17.40%,197,17.40%,27,2.40%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2006,1209,897,74.20%,791,65.40%,88.20%,495,40.90%,55.20%,296,24.50%,33%,106,8.80%,11.80%,222,18.40%,62,5.10%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2006 Aug,1209,1026,84.90%,873,72.20%,85.10%,522,43.20%,50.90%,351,29%,34.20%,153,12.70%,14.90%,93,7.70%,62,5.10%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2001,740,470,63.50%,311,42%,66.20%,96,13%,20.40%,215,29.10%,45.70%,159,21.50%,33.80%,150,20.30%,96,13%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2002,671,436,65%,315,46.90%,72.20%,67,10%,15.40%,248,37%,56.90%,122,18.20%,28%,124,18.50%,75,11.20%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2003,711,485,68.20%,378,53.20%,77.90%,81,11.40%,16.70%,297,41.80%,61.20%,107,15%,22.10%,133,18.70%,74,10.40%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2004,759,541,71.30%,445,58.60%,82.30%,77,10.10%,14.20%,368,48.50%,68%,96,12.60%,17.70%,138,18.20%,70,9.20%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2005,678,457,67.40%,356,52.50%,77.90%,70,10.30%,15.30%,286,42.20%,62.60%,101,14.90%,22.10%,137,20.20%,50,7.40%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,755,474,62.80%,378,50.10%,79.70%,46,6.10%,9.70%,332,44%,70%,96,12.70%,20.30%,197,26.10%,64,8.50%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006 Aug,755,519,68.70%,397,52.60%,76.50%,46,6.10%,8.90%,351,46.50%,67.60%,122,16.20%,23.50%,152,20.10%,64,8.50%
26Q495,BAYSIDE HIGH SCHOOL,2001,761,519,68.20%,474,62.30%,91.30%,292,38.40%,56.30%,182,23.90%,35.10%,49,6.40%,9.40%,134,17.60%,89,11.70%
26Q495,BAYSIDE HIGH SCHOOL,2002,855,594,69.50%,566,66.20%,95.30%,345,40.40%,58.10%,221,25.80%,37.20%,29,3.40%,4.90%,160,18.70%,76,8.90%
26Q495,BAYSIDE HIGH SCHOOL,2003,819,583,71.20%,550,67.20%,94.30%,366,44.70%,62.80%,184,22.50%,31.60%,33,4%,5.70%,149,18.20%,75,9.20%
